,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1695818677125,-0.36401367,0.03363037,-0.9487915,-2.1875,-0.34375,0.015625,0
1,1695818677165,-0.35717773,0.026550293,-0.92852783,0.484375,-0.265625,-0.1875,1
2,1695818677205,-0.3635254,0.031433105,-0.94122314,0.453125,0.84375,-0.015625,2
3,1695818677245,-0.3642578,0.035827637,-0.93878174,-1.46875,2.25,0.609375,3
4,1695818677285,-0.36767578,0.024841309,-0.9714966,-4.40625,2.71875,2.015625,4
5,1695818677325,-0.38208008,0.023620605,-0.9534302,-1.21875,3.59375,1.234375,5
6,1695818677365,-0.375,0.025817871,-0.90802,-0.375,2.21875,0.78125,6
7,1695818677405,-0.37939453,0.015075684,-0.9067993,2.40625,0.84375,-0.1875,7
8,1695818677445,-0.38134766,0.027282715,-0.92437744,4.65625,-1.625,-0.984375,8
9,1695818677485,-0.38867188,0.04144287,-0.95562744,5.21875,-2.75,-1.5,9
10,1695818677525,-0.37548828,0.054138184,-0.9212036,6.828125,-3.578125,-1.578125,10
11,1695818677565,-0.375,0.04534912,-1.0032349,2.046875,0.40625,-0.046875,11
12,1695818677605,-0.37573242,0.05706787,-0.97613525,-1.546875,1.53125,0.59375,12
13,1695818677645,-0.38500977,0.047302246,-0.94659424,-5.90625,0.84375,1.203125,13
14,1695818677685,-0.3713379,0.030456543,-0.8833618,-2.390625,-1.578125,-0.15625,14
15,1695818677725,-0.35546875,0.04437256,-0.89923096,0.828125,-2.546875,-0.4375,15
16,1695818677765,-0.3515625,0.046569824,-0.88165283,0.640625,2.59375,-0.046875,16
17,1695818677805,-0.38745117,0.046813965,-0.9837036,-0.796875,4.90625,0.328125,17
18,1695818677845,-0.4243164,0.039489746,-1.015686,-6.15625,6.390625,1.390625,18
19,1695818677885,-0.4013672,0.03704834,-0.90338135,-5.734375,1.125,0.9375,19
20,1695818677925,-0.37573242,0.023132324,-0.90460205,0.484375,-2.109375,-0.671875,20
21,1695818677965,-0.35083008,0.014343262,-0.78448486,-0.90625,3.3125,0.046875,21
22,1695818678005,-0.4020996,0.03778076,-0.9837036,2.0625,3.78125,-0.6875,22
23,1695818678045,-0.4326172,0.038513184,-0.99786377,-2.9375,7.265625,1.25,23
24,1695818678085,-0.43139648,0.029968262,-0.92852783,-6.015625,6.8125,1.484375,24
25,1695818678125,-0.40966797,0.02142334,-0.87750244,-2.84375,0.5625,0.375,25
26,1695818678165,-0.3955078,0.014587402,-0.85479736,0.140625,0.375,-0.53125,26
27,1695818678205,-0.4260254,0.020446777,-0.9434204,1.46875,-1.09375,-0.46875,27
28,1695818678245,-0.44067383,0.02508545,-0.9595337,-3.3125,2.421875,1.46875,28
29,1695818678285,-0.42578125,0.011413574,-0.9343872,-8.71875,14.203125,3.25,29
30,1695818678325,-0.46044922,-0.014953613,-0.86065674,-4.765625,2.3125,0.640625,30
31,1695818678365,-0.40942383,-0.008117676,-0.83843994,-0.15625,-3.90625,-0.796875,31
32,1695818678405,-0.42626953,-0.0068969727,-0.8682251,7.109375,-10.265625,-2.296875,32
33,1695818678445,-0.41186523,0.007019043,-0.8670044,9.4375,-13.59375,-2.734375,33
34,1695818678485,-0.4099121,0.026306152,-0.98272705,5.046875,-10.25,-1.921875,34
35,1695818678525,-0.40527344,0.027526855,-1.0059204,-1.09375,-5.46875,-1.078125,35
36,1695818678565,-0.39379883,0.02508545,-0.9636841,-1.78125,-2.296875,-0.421875,36
37,1695818678605,-0.39086914,0.02532959,-0.9343872,-1.8125,-1.78125,0.125,37
38,1695818678645,-0.39770508,0.022399902,-0.9507446,-1.25,-1.09375,-0.0625,38
39,1695818678685,-0.3955078,0.030212402,-0.96221924,0.40625,-2.25,-0.390625,39
40,1695818678725,-0.38208008,0.01361084,-0.9055786,2.0,-2.03125,-0.4375,40
41,1695818678765,-0.37158203,0.026794434,-0.90631104,2.84375,-0.453125,-0.765625,41
42,1695818678805,-0.39575195,0.024597168,-0.94854736,1.046875,0.09375,-0.59375,42
43,1695818678845,-0.39111328,0.027038574,-0.93634033,-0.75,-0.109375,-0.96875,43
44,1695818678885,-0.38330078,0.032409668,-0.90338135,-1.453125,0.03125,-0.28125,44
45,1695818678925,-0.38134766,0.041931152,-0.96466064,-1.515625,5.890625,0.96875,45
46,1695818678965,-0.41308594,0.034118652,-0.96954346,-2.171875,5.953125,1.5,46
47,1695818679005,-0.4140625,0.028747559,-0.93463135,-2.40625,0.265625,0.421875,47
48,1695818679045,-0.39404297,0.019714355,-0.911438,-1.546875,-0.109375,0.0,48
49,1695818679085,-0.39233398,0.015075684,-0.895813,0.453125,-2.9375,-0.40625,49
50,1695818679125,-0.3876953,0.015075684,-0.9026489,2.0625,-1.53125,-0.84375,50
51,1695818679165,-0.41064453,0.03729248,-0.9920044,0.734375,2.765625,-0.03125,51
52,1695818679205,-0.42163086,0.026794434,-0.98101807,-3.59375,4.03125,1.28125,52
53,1695818679245,-0.4140625,0.016784668,-0.9312134,-2.53125,-0.484375,0.375,53
54,1695818679285,-0.39086914,0.018005371,-0.91192627,-0.09375,-3.390625,-0.546875,54
55,1695818679325,-0.3815918,0.02508545,-0.8706665,-0.09375,-1.59375,-0.125,55
56,1695818679365,-0.40722656,0.026550293,-0.9690552,0.09375,2.921875,0.140625,56
57,1695818679405,-0.42163086,0.016540527,-0.94732666,-6.203125,9.328125,2.125,57
58,1695818679445,-0.4272461,-6.1035156e-05,-0.9014282,-2.9375,4.953125,-0.03125,58
59,1695818679485,-0.4128418,0.0045776367,-0.8850708,1.1875,-1.734375,-1.609375,59
60,1695818679525,-0.41137695,0.012634277,-0.85723877,5.4375,-7.875,-2.375,60
61,1695818679565,-0.4008789,0.02508545,-0.8640747,7.3125,-11.0,-2.625,61
62,1695818679605,-0.38989258,0.043884277,-0.9248657,7.828125,-8.90625,-2.3125,62
63,1695818679645,-0.39331055,0.057556152,-0.96466064,3.84375,-6.109375,-1.453125,63
64,1695818679685,-0.38793945,0.054382324,-0.98516846,-0.296875,-2.78125,-0.546875,64
65,1695818679725,-0.39135742,0.04852295,-0.9685669,-2.328125,-1.875,-0.109375,65
66,1695818679765,-0.37524414,0.046325684,-0.9331665,-2.375,-2.21875,-0.0625,66
67,1695818679805,-0.38085938,0.04095459,-0.93463135,-1.171875,-2.140625,-0.109375,67
68,1695818679845,-0.37841797,0.041931152,-0.928772,0.15625,-1.46875,-0.078125,68
69,1695818679885,-0.37231445,0.04901123,-0.923645,1.140625,-0.203125,-0.15625,69
70,1695818679925,-0.37304688,0.05267334,-0.93292236,2.390625,0.296875,-0.21875,70
71,1695818679965,-0.37451172,0.05682373,-0.93463135,2.15625,0.34375,-0.078125,71
72,1695818680005,-0.3852539,0.057556152,-0.96173096,0.21875,-0.203125,0.0625,72
73,1695818680045,-0.38183594,0.053649902,-0.9319458,-0.890625,-0.390625,0.15625,73
74,1695818680085,-0.3659668,0.051452637,-0.913147,-2.15625,-1.046875,0.453125,74
75,1695818680125,-0.3762207,0.05340576,-0.9644165,-2.984375,4.421875,1.421875,75
76,1695818680165,-0.40649414,0.04827881,-1.0098267,-4.515625,3.015625,1.96875,76
77,1695818680205,-0.4008789,0.03265381,-0.9299927,-5.078125,1.390625,1.453125,77
78,1695818680245,-0.38085938,0.023620605,-0.8960571,-4.078125,1.703125,1.03125,78
79,1695818680285,-0.3894043,0.016296387,-0.87579346,1.109375,-1.21875,-0.515625,79
80,1695818680325,-0.37329102,0.03314209,-0.82476807,2.34375,0.296875,-0.90625,80
81,1695818680365,-0.40185547,0.046813965,-1.0654907,1.765625,11.265625,0.171875,81
82,1695818680405,-0.44433594,0.030212402,-0.9109497,-5.84375,3.796875,1.78125,82
83,1695818680445,-0.4140625,0.02947998,-0.8777466,-5.109375,-1.34375,0.546875,83
84,1695818680485,-0.3779297,0.005065918,-0.85479736,0.828125,-6.953125,-0.890625,84
85,1695818680525,-0.35180664,0.014831543,-0.7918091,3.03125,-0.984375,-0.453125,85
86,1695818680565,-0.39208984,0.039001465,-0.94537354,4.921875,2.03125,-0.921875,86
87,1695818680605,-0.4321289,0.035827637,-1.0291138,-1.875,3.84375,0.859375,87
88,1695818680645,-0.43920898,0.028503418,-0.9390259,-1.96875,-4.625,0.171875,88
89,1695818680685,-0.38183594,0.028747559,-0.88531494,-0.515625,-4.125,-0.40625,89
90,1695818680725,-0.33862305,0.024841309,-0.81256104,1.375,4.09375,-0.921875,90
91,1695818680765,-0.4284668,0.039001465,-0.97979736,1.0,5.640625,-0.140625,91
92,1695818680805,-0.45288086,0.01727295,-1.0559692,-4.921875,4.28125,2.34375,92
93,1695818680845,-0.42651367,0.022399902,-0.85943604,-3.28125,0.359375,1.421875,93
94,1695818680885,-0.41845703,0.027770996,-0.9170532,-2.046875,-1.984375,0.390625,94
95,1695818680925,-0.39086914,0.018493652,-0.83673096,-2.9375,0.28125,1.09375,95
96,1695818680965,-0.40942383,0.005554199,-0.89630127,-0.6875,3.171875,1.125,96
97,1695818681005,-0.4453125,0.015563965,-1.0134888,-2.546875,1.78125,2.328125,97
98,1695818681045,-0.44458008,0.0028686523,-0.8740845,-2.8125,-0.15625,0.96875,98
99,1695818681085,-0.41748047,0.011657715,-0.9158325,-0.859375,-5.171875,-0.53125,99
100,1695818681125,-0.40161133,0.017028809,-0.9212036,1.0625,-0.640625,-0.59375,100
101,1695818681165,-0.4345703,-0.00030517578,-0.92926025,1.3125,-0.234375,-0.515625,101
102,1695818681205,-0.4428711,0.023132324,-0.9902954,-0.4375,-0.125,1.15625,102
103,1695818681245,-0.4309082,0.013122559,-0.8999634,-0.328125,-0.296875,0.65625,103
104,1695818681285,-0.43164062,0.018005371,-0.93218994,-0.578125,-5.9375,-0.203125,104
105,1695818681325,-0.4050293,0.024353027,-0.9116821,1.359375,-1.125,-0.375,105
106,1695818681365,-0.40795898,0.014587402,-0.84625244,-1.34375,2.046875,0.515625,106
107,1695818681405,-0.41674805,0.012878418,-0.9224243,1.125,0.203125,0.046875,107
108,1695818681445,-0.4260254,0.015319824,-0.94903564,-1.5625,0.3125,0.46875,108
109,1695818681485,-0.44482422,0.015319824,-1.0081177,-1.171875,-0.796875,0.484375,109
110,1695818681525,-0.42578125,-0.00079345703,-0.9133911,-4.1875,-2.96875,1.28125,110
111,1695818681565,-0.40844727,0.005554199,-0.8440552,-1.59375,-3.40625,0.078125,111
112,1695818681605,-0.40429688,0.00091552734,-0.86138916,0.3125,-1.28125,-0.4375,112
113,1695818681645,-0.38964844,0.00970459,-0.892395,2.015625,1.5625,-0.546875,113
114,1695818681685,-0.4272461,-0.0044555664,-0.96954346,2.078125,1.21875,-0.5625,114
115,1695818681725,-0.4375,0.008728027,-0.9890747,0.015625,-0.765625,-0.046875,115
116,1695818681765,-0.4169922,0.0028686523,-0.96417236,-1.5,-1.90625,0.421875,116
117,1695818681805,-0.4152832,0.0053100586,-0.93829346,-4.1875,-2.71875,1.125,117
118,1695818681845,-0.41577148,-0.004699707,-0.8596802,-1.953125,-2.9375,0.28125,118
119,1695818681885,-0.38330078,0.003112793,-0.85894775,0.578125,-0.765625,-0.3125,119
120,1695818681925,-0.3894043,0.007507324,-0.87213135,1.328125,0.703125,-0.359375,120
121,1695818681965,-0.41064453,0.008239746,-0.95318604,2.03125,1.96875,-0.65625,121
122,1695818682005,-0.43579102,0.012634277,-0.97491455,-1.375,-0.234375,0.0625,122
123,1695818682045,-0.42016602,0.0016479492,-0.98760986,-2.390625,-1.828125,0.546875,123
124,1695818682085,-0.41088867,0.0016479492,-0.9204712,-5.125,-2.4375,1.125,124
125,1695818682125,-0.40844727,-0.0037231445,-0.894104,-0.40625,-3.984375,-0.25,125
126,1695818682165,-0.38183594,-0.0017700195,-0.8670044,2.125,-1.0,-0.734375,126
127,1695818682205,-0.38427734,0.01361084,-0.8533325,2.453125,2.84375,-0.65625,127
128,1695818682245,-0.42089844,0.00970459,-0.96759033,1.75,2.0,-0.578125,128
129,1695818682285,-0.43652344,0.005554199,-0.97442627,-0.15625,-0.3125,-0.015625,129
130,1695818682325,-0.43237305,0.012878418,-0.9854126,-3.484375,-1.90625,1.3125,130
