timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,recording_id
1695642965077,0.036621094,0.027282715,-0.986145,-0.375,0.4375,0.265625,Respeck_s1975761_Lying down on stomach_Singing_25-09-2023_12-56-45
1695642965122,0.04345703,0.028747559,-0.9866333,-0.265625,0.484375,0.34375,Respeck_s1975761_Lying down on stomach_Singing_25-09-2023_12-56-45
1695642965155,0.041259766,0.032165527,-0.98638916,-0.359375,0.25,0.3125,Respeck_s1975761_Lying down on stomach_Singing_25-09-2023_12-56-45
1695642965200,0.040039062,0.027282715,-0.98809814,-0.390625,0.203125,0.15625,Respeck_s1975761_Lying down on stomach_Singing_25-09-2023_12-56-45
1695642965234,0.045654297,0.031433105,-0.98272705,-0.4375,0.328125,0.21875,Respeck_s1975761_Lying down on stomach_Singing_25-09-2023_12-56-45
1695642965281,0.048095703,0.026062012,-0.9898071,-0.15625,0.4375,0.46875,Respeck_s1975761_Lying down on stomach_Singing_25-09-2023_12-56-45
1695642965314,0.041992188,0.03289795,-0.98883057,-0.15625,0.4375,0.28125,Respeck_s1975761_Lying down on stomach_Singing_25-09-2023_12-56-45
1695642965357,0.040771484,0.024841309,-0.9849243,-0.5,0.671875,0.359375,Respeck_s1975761_Lying down on stomach_Singing_25-09-2023_12-56-45
1695642965393,0.043701172,0.027282715,-0.9898071,-0.171875,0.515625,0.21875,Respeck_s1975761_Lying down on stomach_Singing_25-09-2023_12-56-45
1695642965448,0.047851562,0.028015137,-0.9873657,-0.171875,0.515625,0.078125,Respeck_s1975761_Lying down on stomach_Singing_25-09-2023_12-56-45
1695642965470,0.043945312,0.029724121,-0.9871216,-0.125,0.4375,0.359375,Respeck_s1975761_Lying down on stomach_Singing_25-09-2023_12-56-45
1695642965538,0.040283203,0.03338623,-0.9849243,-0.328125,0.21875,0.25,Respeck_s1975761_Lying down on stomach_Singing_25-09-2023_12-56-45
