timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,ind
1696291631627,-0.35058594,0.8847656,0.26757812,-0.125,0.0,-0.0625,0.0,0.0,0.0,0
1696291631667,-0.35839844,0.9033203,0.27148438,-0.125,-0.0625,0.25,0.0,0.0,0.0,1
1696291631707,-0.35546875,0.88183594,0.26660156,-0.0625,0.0,0.0625,0.0,0.0,0.0,2
1696291631747,-0.35546875,0.88183594,0.2685547,0.0,0.125,0.1875,0.0,0.0,0.0,3
1696291631787,-0.34472656,0.88964844,0.2861328,0.0,-0.125,-0.0625,-35.25,2.0,-192.625,4
1696291631827,-0.35839844,0.8876953,0.2734375,-0.0625,-0.0625,0.0,0.0,0.0,0.0,5
1696291631867,-0.359375,0.8935547,0.26757812,0.0,-0.25,-0.125,0.0,0.0,0.0,6
1696291631907,-0.36132812,0.8769531,0.2783203,-0.125,0.0,0.0,0.0,0.0,0.0,7
1696291631947,-0.35351562,0.8876953,0.27148438,-0.1875,0.0,0.0,0.0,0.0,0.0,8
1696291631987,-0.3515625,0.88964844,0.2626953,0.125,0.125,0.0,0.0,0.0,0.0,9
1696291632027,-0.3515625,0.88671875,0.25585938,-0.3125,-0.1875,-0.0625,0.0,0.0,0.0,10
1696291632067,-0.359375,0.87890625,0.26953125,-0.1875,-0.125,-0.125,0.0,0.0,0.0,11
1696291632107,-0.36132812,0.8798828,0.28222656,0.125,0.34375,-0.0625,0.0,0.0,0.0,12
1696291632147,-0.35058594,0.8876953,0.2841797,-0.125,0.46875,0.25,0.0,0.0,0.0,13
1696291632187,-0.35546875,0.8886719,0.26171875,0.25,0.25,0.0,0.0,0.0,0.0,14
1696291632227,-0.36035156,0.88671875,0.26953125,0.625,0.0625,-0.1875,0.0,0.0,0.0,15
1696291632267,-0.35742188,0.8779297,0.27539062,0.4375,0.1875,-0.25,-37.1875,2.4375,-191.4375,16
1696291632307,-0.34960938,0.8857422,0.2685547,0.1875,0.3125,-0.3125,0.0,0.0,0.0,17
1696291632347,-0.36523438,0.8847656,0.28320312,0.4375,0.1875,-0.0625,0.0,0.0,0.0,18
1696291632387,-0.3564453,0.8847656,0.28515625,-0.375,0.0,0.125,0.0,0.0,0.0,19
1696291632427,-0.3486328,0.8876953,0.26171875,-0.5625,-0.0625,0.25,0.0,0.0,0.0,20
1696291632467,-0.359375,0.8828125,0.26660156,0.125,0.25,0.0,0.0,0.0,0.0,21
1696291632507,-0.3701172,0.88378906,0.265625,0.0625,0.0,-0.0625,0.0,0.0,0.0,22
1696291632547,-0.34960938,0.875,0.2685547,-0.125,-0.125,-0.125,0.0,0.0,0.0,23
1696291632587,-0.35546875,0.8847656,0.2685547,0.0,-0.125,0.0,0.0,0.0,0.0,24
1696291632627,-0.35546875,0.875,0.27246094,0.1875,0.25,0.0,0.0,0.0,0.0,25
1696291632667,-0.3564453,0.8828125,0.25390625,0.125,0.3125,0.125,0.0,0.0,0.0,26
1696291632707,-0.35839844,0.8964844,0.26660156,-0.25,-0.0625,0.0625,0.0,0.0,0.0,27
1696291632747,-0.3564453,0.8876953,0.26953125,0.0,-0.1875,-0.0625,0.0,0.0,0.0,28
1696291632787,-0.3564453,0.8847656,0.26171875,0.0,0.25,-0.0625,-36.875,0.625,-192.1875,29
1696291632827,-0.35839844,0.890625,0.2783203,-0.1875,0.25,0.1875,0.0,0.0,0.0,30
1696291632867,-0.35253906,0.8828125,0.26953125,0.0625,0.0625,0.0625,0.0,0.0,0.0,31
1696291632907,-0.35742188,0.8798828,0.26660156,0.125,-0.0625,0.0,0.0,0.0,0.0,32
1696291632947,-0.3623047,0.8798828,0.2578125,0.0,-0.125,-0.1875,0.0,0.0,0.0,33
1696291632987,-0.3642578,0.8886719,0.26953125,0.1875,0.3125,-0.125,0.0,0.0,0.0,34
1696291633027,-0.35742188,0.88183594,0.27148438,0.3125,0.0625,0.0625,0.0,0.0,0.0,35
1696291633067,-0.35351562,0.88671875,0.27246094,0.0625,0.125,0.0,0.0,0.0,0.0,36
1696291633107,-0.359375,0.8730469,0.27734375,-0.1875,0.125,0.125,0.0,0.0,0.0,37
1696291633147,-0.3564453,0.8857422,0.2626953,0.1875,0.0625,0.125,0.0,0.0,0.0,38
1696291633187,-0.35839844,0.88671875,0.27148438,0.125,0.125,-0.1875,0.0,0.0,0.0,39
1696291633227,-0.35742188,0.88378906,0.28515625,0.0,0.0,-0.125,0.0,0.0,0.0,40
1696291633267,-0.35253906,0.88183594,0.2734375,0.0625,0.125,-0.1875,-36.0,2.0,-191.875,41
1696291633307,-0.35742188,0.8886719,0.27441406,-0.0625,0.0625,0.0625,0.0,0.0,0.0,42
1696291633347,-0.359375,0.8886719,0.26757812,0.0625,0.1875,0.125,0.0,0.0,0.0,43
1696291633387,-0.35351562,0.89453125,0.2578125,-0.3125,-0.125,0.0625,0.0,0.0,0.0,44
1696291633427,-0.3564453,0.8857422,0.2783203,-0.25,-0.3125,-0.125,0.0,0.0,0.0,45
1696291633467,-0.3564453,0.8984375,0.26757812,0.125,0.1875,-0.125,0.0,0.0,0.0,46
1696291633507,-0.35839844,0.8935547,0.25390625,-0.59375,0.0,0.125,0.0,0.0,0.0,47
